-cornerpoints-
nrcorners 981
441 0.00123077 0.00216216
442 0.00130769 0.00216216
443 0.00138462 0.00216216
444 0.00146154 0.00216216
445 0.00153846 0.00216216
446 0.00161538 0.00216216
447 0.00169231 0.00216216
448 0.00176923 0.00216216
449 0.00184615 0.00216216
450 0.00192308 0.00216216
451 0.002 0.00216216
452 0 0.0022973
453 7.69231e-005 0.0022973
454 0.000153846 0.0022973
455 0.000230769 0.0022973
456 0.000307692 0.0022973
457 0.000384615 0.0022973
458 0.000461538 0.0022973
459 0.000538462 0.0022973
460 0.000615385 0.0022973
461 0.000692308 0.0022973
462 0.000769231 0.0022973
463 0.000846154 0.0022973
464 0.000923077 0.0022973
465 0.001 0.0022973
466 0.00107692 0.0022973
467 0.00115385 0.0022973
468 0.00123077 0.0022973
469 0.00130769 0.0022973
470 0.00138462 0.0022973
471 0.00146154 0.0022973
472 0.00153846 0.0022973
473 0.00161538 0.0022973
474 0.00169231 0.0022973
475 0.00176923 0.0022973
476 0.00184615 0.0022973
477 0.00192308 0.0022973
478 0.002 0.0022973
479 3.84615e-005 0.00243243
480 0.000115385 0.00243243
481 0.000192308 0.00243243
482 0.000269231 0.00243243
483 0.000346154 0.00243243
484 0.000423077 0.00243243
485 0.0005 0.00243243
486 0.000576923 0.00243243
487 0.000653846 0.00243243
488 0.000730769 0.00243243
489 0.000807692 0.00243243
490 0.000884615 0.00243243
491 0.000961538 0.00243243
492 0.00103846 0.00243243
493 0.00111538 0.00243243
494 0.00119231 0.00243243
495 0.00126923 0.00243243
496 0.00134615 0.00243243
497 0.00142308 0.00243243
498 0.0015 0.00243243
499 0.00157692 0.00243243
500 0.00165385 0.00243243
501 0.00173077 0.00243243
502 0.00180769 0.00243243
503 0.00188462 0.00243243
504 0.00196154 0.00243243
505 3.84615e-005 0.00256757
506 0.000115385 0.00256757
507 0.000192308 0.00256757
508 0.000269231 0.00256757
509 0.000346154 0.00256757
510 0.000423077 0.00256757
511 0.0005 0.00256757
512 0.000576923 0.00256757
513 0.000653846 0.00256757
514 0.000730769 0.00256757
515 0.000807692 0.00256757
516 0.000884615 0.00256757
517 0.000961538 0.00256757
518 0.00103846 0.00256757
519 0.00111538 0.00256757
520 0.00119231 0.00256757
521 0.00126923 0.00256757
522 0.00134615 0.00256757
523 0.00142308 0.00256757
524 0.0015 0.00256757
525 0.00157692 0.00256757
526 0.00165385 0.00256757
527 0.00173077 0.00256757
528 0.00180769 0.00256757
529 0.00188462 0.00256757
530 0.00196154 0.00256757
531 0 0.0027027
532 7.69231e-005 0.0027027
533 0.000153846 0.0027027
534 0.000230769 0.0027027
535 0.000307692 0.0027027
536 0.000384615 0.0027027
537 0.000461538 0.0027027
538 0.000538462 0.0027027
539 0.000615385 0.0027027
540 0.000692308 0.0027027
541 0.000769231 0.0027027
542 0.000846154 0.0027027
543 0.000923077 0.0027027
544 0.001 0.0027027
545 0.00107692 0.0027027
546 0.00115385 0.0027027
547 0.00123077 0.0027027
548 0.00130769 0.0027027
549 0.00138462 0.0027027
550 0.00146154 0.0027027
551 0.00153846 0.0027027
552 0.00161538 0.0027027
553 0.00169231 0.0027027
554 0.00176923 0.0027027
555 0.00184615 0.0027027
556 0.00192308 0.0027027
557 0.002 0.0027027
558 0 0.00283784
559 7.69231e-005 0.00283784
560 0.000153846 0.00283784
561 0.000230769 0.00283784
562 0.000307692 0.00283784
563 0.000384615 0.00283784
564 0.000461538 0.00283784
565 0.000538462 0.00283784
566 0.000615385 0.00283784
567 0.000692308 0.00283784
568 0.000769231 0.00283784
569 0.000846154 0.00283784
570 0.000923077 0.00283784
571 0.001 0.00283784
572 0.00107692 0.00283784
573 0.00115385 0.00283784
574 0.00123077 0.00283784
575 0.00130769 0.00283784
576 0.00138462 0.00283784
577 0.00146154 0.00283784
578 0.00153846 0.00283784
579 0.00161538 0.00283784
580 0.00169231 0.00283784
581 0.00176923 0.00283784
582 0.00184615 0.00283784
583 0.00192308 0.00283784
584 0.002 0.00283784
585 3.84615e-005 0.00297297
586 0.000115385 0.00297297
587 0.000192308 0.00297297
588 0.000269231 0.00297297
